date,area,average_price,code,houses_sold,no_of_crimes
2012-09-01,barking and dagenham,165304,E09000002,90.0,1304.0
2012-10-01,barking and dagenham,165328,E09000002,102.0,1431.0
2012-11-01,barking and dagenham,166508,E09000002,119.0,1516.0
2012-12-01,barking and dagenham,167813,E09000002,114.0,1363.0
2013-01-01,barking and dagenham,167919,E09000002,92.0,1558.0
2013-02-01,barking and dagenham,169461,E09000002,120.0,1492.0
2013-03-01,barking and dagenham,169414,E09000002,96.0,1449.0
2013-04-01,barking and dagenham,169968,E09000002,107.0,1359.0
2013-05-01,barking and dagenham,170475,E09000002,135.0,1363.0
2013-06-01,barking and dagenham,172652,E09000002,132.0,1265.0
2013-07-01,barking and dagenham,174604,E09000002,165.0,1500.0
2013-08-01,barking and dagenham,173720,E09000002,192.0,1279.0
2013-09-01,barking and dagenham,174761,E09000002,147.0,1265.0
2013-10-01,barking and dagenham,176821,E09000002,175.0,1372.0
2013-11-01,barking and dagenham,181910,E09000002,215.0,1416.0
2013-12-01,barking and dagenham,183099,E09000002,212.0,1217.0
2014-01-01,barking and dagenham,184884,E09000002,127.0,1311.0
2014-02-01,barking and dagenham,185428,E09000002,156.0,1253.0
2014-03-01,barking and dagenham,189877,E09000002,158.0,1507.0
2014-04-01,barking and dagenham,193077,E09000002,157.0,1253.0
2014-05-01,barking and dagenham,196620,E09000002,166.0,1324.0
2014-06-01,barking and dagenham,198040,E09000002,162.0,1353.0
2014-07-01,barking and dagenham,201936,E09000002,209.0,1403.0
2014-08-01,barking and dagenham,204974,E09000002,202.0,1289.0
2014-09-01,barking and dagenham,210412,E09000002,185.0,1414.0
2014-10-01,barking and dagenham,213903,E09000002,237.0,1359.0
2014-11-01,barking and dagenham,216631,E09000002,201.0,1477.0
2014-12-01,barking and dagenham,218285,E09000002,299.0,1285.0
2015-01-01,barking and dagenham,220070,E09000002,204.0,1308.0
2015-02-01,barking and dagenham,222919,E09000002,184.0,1221.0
2015-03-01,barking and dagenham,222417,E09000002,183.0,1549.0
2015-04-01,barking and dagenham,222176,E09000002,162.0,1342.0
2015-05-01,barking and dagenham,221826,E09000002,167.0,1496.0
2015-06-01,barking and dagenham,227558,E09000002,218.0,1440.0
2015-07-01,barking and dagenham,235702,E09000002,200.0,1584.0
2015-08-01,barking and dagenham,241735,E09000002,185.0,1411.0
2015-09-01,barking and dagenham,243479,E09000002,209.0,1436.0
2015-10-01,barking and dagenham,243539,E09000002,235.0,1395.0
2015-11-01,barking and dagenham,246955,E09000002,221.0,1517.0
2015-12-01,barking and dagenham,253145,E09000002,237.0,1481.0
2016-01-01,barking and dagenham,258758,E09000002,158.0,1423.0
2016-02-01,barking and dagenham,262861,E09000002,214.0,1417.0
2016-03-01,barking and dagenham,266209,E09000002,351.0,1555.0
2016-04-01,barking and dagenham,266744,E09000002,137.0,1414.0
2016-05-01,barking and dagenham,268081,E09000002,144.0,1649.0
2016-06-01,barking and dagenham,269318,E09000002,179.0,1552.0
2016-07-01,barking and dagenham,274243,E09000002,182.0,1621.0
2016-08-01,barking and dagenham,279484,E09000002,159.0,1445.0
2016-09-01,barking and dagenham,283654,E09000002,187.0,1460.0
2016-10-01,barking and dagenham,286210,E09000002,160.0,1411.0
2016-11-01,barking and dagenham,285853,E09000002,178.0,1394.0
2016-12-01,barking and dagenham,285622,E09000002,154.0,1349.0
2017-01-01,barking and dagenham,282441,E09000002,129.0,1379.0
2017-02-01,barking and dagenham,280698,E09000002,146.0,1412.0
2017-03-01,barking and dagenham,278213,E09000002,223.0,1603.0
2017-04-01,barking and dagenham,280567,E09000002,125.0,1497.0
2017-05-01,barking and dagenham,286018,E09000002,174.0,1706.0
2017-06-01,barking and dagenham,289569,E09000002,192.0,1581.0
2017-07-01,barking and dagenham,291727,E09000002,160.0,1718.0
2017-08-01,barking and dagenham,290965,E09000002,164.0,1606.0
2017-09-01,barking and dagenham,292519,E09000002,178.0,1553.0
2017-10-01,barking and dagenham,293390,E09000002,206.0,1633.0
2017-11-01,barking and dagenham,293796,E09000002,193.0,1523.0
2017-12-01,barking and dagenham,292915,E09000002,180.0,1463.0
2018-01-01,barking and dagenham,291548,E09000002,154.0,1502.0
2018-02-01,barking and dagenham,292777,E09000002,150.0,1423.0
2018-03-01,barking and dagenham,291723,E09000002,160.0,1605.0
2018-04-01,barking and dagenham,291184,E09000002,150.0,1453.0
2018-05-01,barking and dagenham,290239,E09000002,166.0,1504.0
2018-06-01,barking and dagenham,294236,E09000002,172.0,1569.0
2018-07-01,barking and dagenham,294953,E09000002,211.0,1612.0
2018-08-01,barking and dagenham,295908,E09000002,151.0,1460.0
2018-09-01,barking and dagenham,296424,E09000002,148.0,1467.0
2018-10-01,barking and dagenham,299648,E09000002,161.0,1582.0
2018-11-01,barking and dagenham,302606,E09000002,169.0,1560.0
2018-12-01,barking and dagenham,301114,E09000002,141.0,1544.0
2019-01-01,barking and dagenham,297181,E09000002,119.0,1576.0
